
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000048                       # Number of seconds simulated (Second)
simTicks                                     48329000                       # Number of ticks simulated (Tick)
finalTick                                    48329000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.84                       # Real time elapsed on the host (Second)
hostTickRate                                 57611476                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2262708                       # Number of bytes of host memory used (Byte)
simInsts                                       117048                       # Number of instructions simulated (Count)
simOps                                         117048                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   139502                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     139501                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            48330                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.412908                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.421850                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          120207                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      425                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         119708                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     10                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 3562                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              2066                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               44595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.684337                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.335043                       # Number of insts issued each cycle (Count)
system.l2cache.demandMissLatency::cpu.inst      7741000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data     55715000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total      63456000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst      7741000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data     55715000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total     63456000                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst            84                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data           589                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total              673                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst           84                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data          589                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total             673                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst             1                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data             1                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total                1                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst            1                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data            1                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total               1                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 92154.761905                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 94592.529711                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 94288.261516                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 92154.761905                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 94592.529711                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 94288.261516                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.demandMshrMisses::cpu.inst           84                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data          589                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total            673                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst           84                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data          589                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total           673                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst      6061000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::cpu.data     43935000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::total     49996000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.inst      6061000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.data     43935000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::total     49996000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.demandMshrMissRate::cpu.inst            1                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::cpu.data            1                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::total            1                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.inst            1                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.data            1                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::total            1                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.demandAvgMshrMissLatency::cpu.inst 72154.761905                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::cpu.data 74592.529711                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::total 74288.261516                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.inst 72154.761905                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.data 74592.529711                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::total 74288.261516                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.replacements                         0                       # number of replacements (Count)
system.l2cache.ReadExReq.misses::cpu.data          574                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.misses::total            574                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.missLatency::cpu.data     54305000                       # number of ReadExReq miss ticks (Tick)
system.l2cache.ReadExReq.missLatency::total     54305000                       # number of ReadExReq miss ticks (Tick)
system.l2cache.ReadExReq.accesses::cpu.data          574                       # number of ReadExReq accesses(hits+misses) (Count)
system.l2cache.ReadExReq.accesses::total          574                       # number of ReadExReq accesses(hits+misses) (Count)
system.l2cache.ReadExReq.missRate::cpu.data            1                       # miss rate for ReadExReq accesses (Ratio)
